,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению
331,-1.8793170573179654,-1.8355263157894737,-1.865423283789052,-1.7967018813299729,-1.8433829287392325,-1.8140495867768596,-1.9679826809307033,-1.957079919045309
332,-1.8755174339881577,-1.819078947368421,-1.852169585476141,-1.8221457473010723,-1.8394675019577134,-1.827823691460055,-1.9805078358639219,-1.9482423186018167
333,-1.8924775172769084,-1.9424342105263157,-1.863497383109501,-1.8081285681357169,-1.8296789350039155,-1.7865013774104683,-1.8594464209516273,-1.9439181393698295
334,-1.7815061219888966,-1.7779605263157894,-1.7794347656587397,-1.3924227523350332,-1.8277212216131558,-1.7038567493112948,-1.9932359113132716,-1.9413634672673257
335,-1.7499892985334677,-1.7039473684210527,-1.7649496289431357,-1.1363699835807752,-1.8140172278778386,-1.7038567493112948,-1.9919842375246006,-1.9497941028338646
336,-1.8281507876547238,-1.794407894736842,-1.8961268094712294,-1.5268487571196043,,-1.7451790633608815,-1.9938543229786814,-1.976060984211958
337,-1.7798388227883217,-1.712171052631579,-1.8223589773817555,-1.7568638871669633,,-1.662534435261708,-1.9602462357311412,-1.9388748406156737
338,-1.7479516736772212,-1.6710526315789473,-1.6869769137033086,-1.7470486857575114,,-1.6487603305785123,-1.9795311367984312,-1.935771272151578
339,-1.753634895749233,-1.7286184210526316,-1.646673064936702,-1.7263204800021237,,-1.7176308539944904,-1.9825469592010574,-1.9473055708032023
340,,,,,,,,
341,,,,,,,,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,,,,,-2.0,,,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,,,,,,,,
372,,,,,,,,
373,,,,,,,,
374,,,,,,,,
375,,,,,,,,
376,,,,,,,,
377,,,,,,,,
378,,,,,,,,
379,,,,,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,,,,,
385,,,,,,,,
386,,,,,,,,
387,,,,,,,,
388,,,,,,,,
389,,,,,,,,
390,,,,,,,,
391,,,,,-1.6564212999216914,-1.6900826446280992,,
392,,,,,-1.5595144870790916,-1.6280991735537191,,
393,,,,,-1.5203602192638996,-1.5730027548209367,,
394,,,,,-1.4635865309318716,-1.5454545454545454,,
395,,,,,-1.2541111981205952,-1.5179063360881542,,
396,,,,,-1.3676585747846515,-1.4765840220385675,,
397,,,,,-1.3950665622552858,-1.4283746556473829,,
398,-1.7234891725802872,-1.6134868421052633,-1.703849000049023,-1.7064498201639133,-1.2541111981205952,-1.3457300275482094,,-1.7831571723902462
399,-1.709729751941345,-1.6217105263157894,-1.7169713869519645,-1.7119166581250846,-1.0544244322631167,-1.118457300275482,-1.8612444521986589,-1.7419686555481453
400,-1.704754648186676,-1.629934210526316,-1.7121741434410827,-1.712821139705727,-1.1405638214565388,-1.0977961432506889,-1.8647268631201603,-1.767270213588717
401,-1.7115345361906722,-1.6134868421052633,-1.7161018136148338,-1.747514024069691,-1.0211433046202036,-1.0426997245179064,-1.8584526197343147,-1.6450956862328616
402,-1.760986495204618,-1.638157894736842,-1.7768639800546722,-1.7762705895598216,-0.9898198903680502,-0.9738292011019285,-1.862456405033459,-1.6117607115407595
